Hazar mash ,Hazar bosor periye gelo...bolso tumi ai kal dekha holo. . . . Jani na tumi kemon aso. . . .sarajibon valo theke. . .|1425086775|55|0|1
Hello friend Aco kemon&quot;Tot jhal na misty&quot;Rod na bristy&quot;Rc na 7up&quot;Pepsi na fizzup&quot;NTV na rtv&quot; Orange na Lemon&quot;Bolo na Kemon?..|1425086785|55|0|1
Adhar rate chader aalo, Tomay chara lage na valo. Tumi ki asole amon, jante chai acho kemon?|1425086795|55|0|1
HASHI bole....&quot;Nice to meet u&quot;,GOLAP bole....&quot;I like u&quot;,MISSCALL bole....&quot;I miss u&quot;,CALL bole....&quot;I fell u&quot;,BUT my sms bole....&quot;How r u&quot;???..|1425086806|55|0|1
Rater buke chader alo, Ami to nay valo. Tumi amar koto je apon, Tomar jonno kade amar mon. Tai jante chay aso kemon?|1425086819|55|0|1
Bare bare MoNe je pore 2make!.Gum nai 2choke..DeKte cai 2make..sunte cai amr obuj mon 2mr kotha.R Jante cai sudhu kemon aso 2mi????.|1425086834|55|0|1
KlaNto jibon klaNto mon,tari maje kichukkhon.A hoi0 aLaPoN.SaNto hoy mon,DoNno hoy Jibon.aMi aci JeMoN TeMoN,2mi bondhu acHo KeMon??|1425086843|55|0|1
HASHI bole..&quot;Nice to meet u&quot;GOLAP bole..&quot;I like u&quot;MISSCALL bole....&quot;.I miss u&quot; CALL bole..&quot;I miss u&quot; BUT my sms bole....&quot; How r u&quot;??|1425086853|55|0|1
Misti dopur misti alo&quot;basi 2my onek valo&quot;miti miti pakir mela&quot;vabi 2my sara bela&quot;nijum rat santo mon&quot;bondhu 2mi acho kmon.|1425086863|55|0|1
Likhechi kobita nam tar &quot;pream&quot;, porbe 2mi tai korachi &quot;send&quot;. Diyechi jonaki debe 2my alo, asha kori &quot;priya_amar&quot; acho onek valo???|1425086871|55|0|1
aki sutoi badha chilo tomar amar gibonta&gt;hota dure gele bondhu tumi amai chere anek dure&gt;akti sundor dine sundor shokale mone pore tomake tumi kemon aso?|1425086892|55|0|1
Prem mane paglame, prem mane ovemane. Prem mane parka jaowa, prem mane condrimar haowa khaowa. Sei prem tomay korese ame, tae akhon jante chai kemon acho 2me ?|1425086901|55|0|1
